city,province,date
Grande Prairie,AB,2019-09-19
Red Deer,AB,2019-09-20
St. Albert,AB,2019-09-21
Medicine hat,AB,2019-09-22
Lethbridge,AB,2019-09-23
Prince George,BC,2019-09-26
Chilliwack,BC,2019-09-27
Nanaimo,BC,2019-09-28
Courtenay,BC,2019-09-29
Victoria,BC,2019-09-30
​Surrey,BC,2019-10-1
Kelowna,BC,2019-10-2
Calgary,AB,2019-10-3
Moose Jaw,SK,2019-10-5
Saskatoon,SK,2019-10-6
Regina,SK,2019-10-7
Brandon,MB,2019-10-8
​Winnipeg,MB,2019-10-9
Sarnia,ON,2019-10-11
Oshawa,ON,2019-10-12
Belleville,ON,2019-10-15
Ottawa,ON,2019-10-16
Kingston,ON,2019-10-17
Blyth,ON,2019-10-19
Kingsville,On,2019-10-20
​Brantford,ON,2019-10-22
London,ON,2019-10-23
Kitchener,ON,2019-10-24
Lindsay,ON,2019-10-25
Peterborough,ON,2019-10-26
Fredericton,NB,2019-10-28
Halifax,NS,2019-10-29
Barrie,ON,2019-10-30
